query_id,query_text,language,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area,age_group,pregnancy_status,year,recency_flag,dose_context_flag,route,renal_function_group,hepatic_impairment_flag,comparison_flag,negation_flag,prior_treatment_failure_flag
Q131,kontraindikasi Rifampicin pada Tuberculosis dengan COPD,MIXED,Tuberculosis,A15,Rifampicin,J04AB02,Antituberculotics,J04AB,Pulmonology,,,,False,False,,,False,False,False,False
Q132,Methotrexate dosing in Systemic Lupus Erythematosus with heart failure,EN,Systemic Lupus Erythematosus,M32,Methotrexate,L04AX03,Antimetabolites,L04AX,Rheumatology,,,,False,True,,,False,False,False,False
Q133,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,EN,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,False,,,False,False,False,False
Q134,Non-Small Cell Lung Cancer prophylaxis Pembrolizumab indication,EN,Non-Small Cell Lung Cancer,C34,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q135,Rosuvastatin hepatic impairment dose in Acute Coronary Syndrome,EN,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology,,,,False,True,,,True,False,False,False
Q136,add on therapy Hypertension in Pregnancy after Methyldopa failure,EN,Hypertension in Pregnancy,O10,Methyldopa,C02AB01,Centrally acting antihypertensives,C02AB,Obstetrics,,pregnant,,False,False,,,False,False,False,True
Q137,ARBs mechanism untuk Heart Failure bagaimana cara kerjanya,MIXED,Heart Failure,I50,Losartan,C09CA01,ARBs,C09CA,Cardiology,,,,False,False,,,False,False,False,False
Q138,Pembrolizumab pada ibu hamil dengan Non-Small Cell Lung Cancer,ID,Non-Small Cell Lung Cancer,C34,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,pregnant,,False,False,,,False,False,False,False
Q139,dosis titrasi Artemether-lumefantrine Typhoid Fever toleransi pasien,MIXED,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,True,,,False,False,False,False
Q140,Beta blockers selective role in Stable Angina pathophysiology,EN,Stable Angina,I20,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology,,,,False,False,,,False,False,False,False
Q141,prophylaxis Colorectal Cancer Pembrolizumab kapan bisa dihentikan,MIXED,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q142,Vitamin A kontraindikasi pada Stunting / Malnutrition dengan COPD,ID,Stunting / Malnutrition,E43,Vitamin A,A11CA01,Vitamin A,A11CA,Pediatrics,,,,False,False,,,False,False,False,False
Q143,switch dari Adalimumab ke Adalimumab Systemic Lupus Erythematosus progresif,MIXED,Systemic Lupus Erythematosus,M32,Adalimumab; Adalimumab,L04AB04; L04AB04,TNF inhibitors; TNF inhibitors,L04AB; L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q144,Colchicine loading dose Psoriatic Arthritis emergency,EN,Psoriatic Arthritis,M07,Colchicine,M04AC01,Gout preparations,M04AC,Rheumatology,,,,False,True,,,False,False,False,False
Q145,titration protocol Rivaroxaban in Community-acquired Pneumonia,EN,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q146,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False
Q147,Chronic Kidney Disease first line ARBs evidence based,MIXED,Chronic Kidney Disease,N18,Losartan,C09CA01,ARBs,C09CA,Nephrology,,,,False,False,,,False,False,False,False
Q148,MDR Tuberculosis dengan renal impairment penyesuaian dosis Bedaquiline,MIXED,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,True,,renal_impairment,False,False,False,False
Q149,Factor Xa inhibitors mechanism of action in Community-acquired Pneumonia,EN,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q150,Magnesium sulphate vs Magnesium sulphate untuk Preeclampsia,ID,Preeclampsia,O14,Magnesium sulphate; Magnesium sulphate,A12CC02; A12CC02,Magnesium; Magnesium,A12CC; A12CC,Obstetrics,,pregnancy_related,,False,False,,,False,True,False,False
Q151,latest guideline Preeclampsia management 2024,MIXED,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics,,pregnancy_related,2024,True,False,,,False,False,False,False
Q152,apakah Bedaquiline aman untuk Tuberculosis dengan obesity,ID,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q153,Rheumatoid Arthritis guideline update 2023 summary,EN,Rheumatoid Arthritis,M05,Mycophenolate mofetil,L04AA06,Immunosuppressants,L04AA,Rheumatology,,,2023,True,False,,,False,False,False,False
Q154,Apixaban hepatic impairment dose in Community-acquired Pneumonia,EN,Community-acquired Pneumonia,J18,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,True,,,True,False,False,False
Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,MIXED,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease,,,,False,False,,,False,False,True,False
Q156,indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru,MIXED,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,True,False,,,False,False,False,False
Q157,Benzodiazepines in pregnancy and Febrile Seizure,EN,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,pregnant,,False,False,,,False,False,False,False
Q158,when to start Sertraline in ADHD,EN,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,,False,False,,,False,False,False,False
Q159,titration protocol Cyclosporine in Psoriasis,EN,Psoriasis,L40,Cyclosporine,L04AD01,Calcineurin inhibitors,L04AD,Dermatology,,,,False,False,,,False,False,False,False
Q160,Obesity pada anak dosis Liraglutide,ID,Obesity,E66,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,pediatric,,,False,True,,,False,False,False,False
Q161,Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment,MIXED,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics,elderly,pregnancy_related,,False,True,,,False,False,False,False
Q162,Diazepam contraindication in Febrile Seizure with diabetes,EN,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,,,False,False,,,False,False,False,False
Q163,is Amlodipine safe in Acute Coronary Syndrome with obesity,EN,Acute Coronary Syndrome,I24,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology,,,,False,False,,,False,False,False,False
Q164,Systemic Lupus Erythematosus first line TNF inhibitors evidence based,MIXED,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q165,dosis Escitalopram untuk pasien ADHD,ID,ADHD,F90,Escitalopram,N06AB10,SSRIs,N06AB,Psychiatry,,,,False,True,,,False,False,False,False
Q166,SGLT2 inhibitors role in Chronic Kidney Disease pathophysiology,EN,Chronic Kidney Disease,N18,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,,False,False,False,False
Q167,penggantian Omeprazole ke Lansoprazole pada Peptic Ulcer Disease,ID,Peptic Ulcer Disease,K27,Omeprazole; Lansoprazole,A02BC01; A02BC03,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology,,,,False,False,,,False,False,False,False
Q168,Factor Xa inhibitors terbaru untuk Deep Vein Thrombosis 2022,MIXED,Deep Vein Thrombosis,I82,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Haematology,,,2022,True,False,,,False,False,False,False
Q169,Basal insulins mechanism of action in Type 1 Diabetes Mellitus,EN,Type 1 Diabetes Mellitus,E10,Insulin degludec,A10AE06,Basal insulins,A10AE,Endocrinology,,,,False,False,,,False,False,False,False
Q170,Magnesium sulphate vs Magnesium sulphate in Preeclampsia patients,EN,Preeclampsia,O14,Magnesium sulphate; Magnesium sulphate,A12CC02; A12CC02,Magnesium; Magnesium,A12CC; A12CC,Obstetrics,,pregnancy_related,,False,False,,,False,True,False,False
Q171,Hyperthyroidism prophylaxis Methimazole indication,EN,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology,,,,False,False,,,False,False,False,False
Q172,kapan mulai terapi Aspirin pada Stable Angina,ID,Stable Angina,I20,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Cardiology,,,,False,False,,,False,False,False,False
Q173,Stunting / Malnutrition first line Zinc supplements evidence based,MIXED,Stunting / Malnutrition,E43,Zinc,A12CB01,Zinc supplements,A12CB,Pediatrics,,,,False,False,,,False,False,False,False
Q174,monitoring Thyroid hormones pada Hypothyroidism parameter apa,MIXED,Hypothyroidism,E03,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,,False,False,,,False,False,False,False
Q175,Warfarin dosing in Atrial Fibrillation with CKD,EN,Atrial Fibrillation,I48,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Cardiology,,,,False,True,,,False,False,False,False
Q176,latest guideline Major Depressive Disorder management terbaru,MIXED,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,,True,False,,,False,False,False,False
Q177,Bedaquiline long term outcomes Tuberculosis,EN,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q178,add on Valproate setelah Valproate gagal Parkinson Disease,MIXED,Parkinson Disease,G20,Valproate; Valproate,N03AG01; N03AG01,Fatty acid derivatives; Fatty acid derivatives,N03AG; N03AG,Neurology,,,,False,False,,,False,False,False,True
Q179,Type 2 Diabetes Mellitus treatment algorithm GLP-1 receptor agonists first line,EN,Type 2 Diabetes Mellitus,E11,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,False,,,False,False,False,False
Q180,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023,ID,Type 1 Diabetes Mellitus,E10,Metformin,A10BA02,Biguanides,A10BA,Endocrinology,,,2023,True,False,,,False,False,False,False
Q181,dosis Alteplase untuk pasien Ischaemic Stroke,ID,Ischaemic Stroke,I63,Alteplase,B01AD02,Thrombolytics,B01AD,Neurology,,,,False,True,,,False,False,False,False
Q182,apakah Olanzapine aman untuk Schizophrenia dengan renal impairment,ID,Schizophrenia,F20,Olanzapine,N05AH03,Atypical antipsychotics,N05AH,Psychiatry,,,,False,False,,renal_impairment,False,False,False,False
Q183,Hypertension in Pregnancy pediatric dosing Methyldopa,EN,Hypertension in Pregnancy,O10,Methyldopa,C02AB01,Centrally acting antihypertensives,C02AB,Obstetrics,pediatric,pregnant,,False,True,,,False,False,False,False
Q184,Proton pump inhibitors mechanism of action in Peptic Ulcer Disease,EN,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,False,,,False,False,False,False
Q185,Isoniazid hepatic impairment dose in Tuberculosis,EN,Tuberculosis,A15,Isoniazid,J04AC01,Antituberculotics,J04AC,Pulmonology,,,,False,True,,,True,False,False,False
Q186,dosis titrasi Rivaroxaban Deep Vein Thrombosis toleransi pasien,MIXED,Deep Vein Thrombosis,I82,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Haematology,,,,False,True,,,False,False,False,False
Q187,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak,MIXED,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry,,,,False,True,,,False,False,True,False
Q188,interaksi obat Zinc dan Vitamin A pada Stunting / Malnutrition,ID,Stunting / Malnutrition,E43,Zinc; Vitamin A,A12CB01; A11CA01,Zinc supplements; Vitamin A,A12CB; A11CA,Pediatrics,,,,False,False,,,False,False,False,False
Q189,renal dose adjustment Lansoprazole in Peptic Ulcer Disease,EN,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,True,,renal_impairment,False,False,False,False
Q190,Macrolides mechanism of action in Asthma,EN,Asthma,J45,Azithromycin,J01FA10,Macrolides,J01FA,Pulmonology,,,,False,False,,,False,False,False,False
Q191,Heart Failure dengan renal impairment penyesuaian dosis Bisoprolol,MIXED,Heart Failure,I50,Bisoprolol,C07AB07,Beta blockers selective,C07AB,Cardiology,,,,False,True,,renal_impairment,False,False,False,False
Q192,Diabetes Insipidus emergency Desmopressin loading dose berapa,MIXED,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology,,,,False,True,,,False,False,False,False
Q193,Obesity dengan obesity pilihan terapi,ID,Obesity,E66,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,False,,,False,False,False,False
Q194,Chronic Kidney Disease prophylaxis Losartan indication,EN,Chronic Kidney Disease,N18,Losartan,C09CA01,ARBs,C09CA,Nephrology,,,,False,False,,,False,False,False,False
Q195,add on therapy Asthma after Amoxicillin failure,EN,Asthma,J45,Amoxicillin,J01CA04,Penicillins,J01CA,Pulmonology,,,,False,False,,,False,False,False,True
Q196,Gout risk stratification approach,EN,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q197,monitoring terapi Bedaquiline pada MDR Tuberculosis,ID,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q198,Calcium channel blockers new evidence Hypertension 2022,EN,Hypertension,I10,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology,,,2022,False,False,,,False,False,False,False
Q199,Rivaroxaban loading dose Community-acquired Pneumonia emergency,EN,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,True,,,False,False,False,False
Q200,Tuberculosis risk stratification approach,EN,Tuberculosis,A15,Isoniazid,J04AC01,Antituberculotics,J04AC,Pulmonology,,,,False,False,,,False,False,False,False
Q201,interaksi obat Semaglutide dan Liraglutide pada Obesity,ID,Obesity,E66,Semaglutide; Liraglutide,A10BJ06; A10BJ02,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology,,,,False,False,,,False,False,False,False
Q202,HIV/AIDS with obesity first line drug,EN,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease,,,,False,False,,,False,False,False,False
Q203,Corticosteroids in pregnancy and Sepsis,EN,Sepsis,A41,Hydrocortisone,H02AB09,Corticosteroids,H02AB,Critical Care,,pregnant,,False,False,,,False,False,False,False
Q204,Iron preparations mechanism untuk Iron Deficiency Anaemia bagaimana cara kerjanya,MIXED,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology,,,,False,False,,,False,False,False,False
Q205,terapi profilaksis Typhoid Fever dengan Artemether-lumefantrine,ID,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q206,Ischaemic Stroke pada anak dosis Aspirin,ID,Ischaemic Stroke,I63,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Neurology,pediatric,,,False,True,,,False,False,False,False
Q207,Ramipril combination therapy Hypertension,EN,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,,,,False,False,,,False,False,False,False
Q208,terapi profilaksis Hypertension dengan Ramipril,ID,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,,,,False,False,,,False,False,False,False
Q209,switch from Tenofovir+Lamivudine to Tenofovir+Lamivudine in Urinary Tract Infection,EN,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q210,switch dari Venlafaxine ke Escitalopram Major Depressive Disorder progresif,MIXED,Major Depressive Disorder,F32,Venlafaxine; Escitalopram,N06AX16; N06AB10,SNRIs; SSRIs,N06AX; N06AB,Psychiatry,,,,False,False,,,False,False,False,False
Q211,Tuberculosis dengan atrial fibrillation pilihan terapi,ID,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q212,is Salmeterol safe in COPD with anaemia,EN,COPD,J44,Salmeterol,R03AC12,Long-acting beta2-agonists,R03AC,Pulmonology,,,,False,False,,,False,False,False,False
Q213,prophylaxis Hypertension Amlodipine kapan bisa dihentikan,MIXED,Hypertension,I10,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology,,,,False,False,,,False,False,False,False
Q214,Clozapine hepatic impairment dose in Schizophrenia,EN,Schizophrenia,F20,Clozapine,N05AH02,Atypical antipsychotics,N05AH,Psychiatry,,,,False,True,,,True,False,False,False
Q215,Ferrous sulphate drug interaction with Erythropoietin in Iron Deficiency Anaemia,EN,Iron Deficiency Anaemia,D50,Ferrous sulphate; Erythropoietin,B03AA07; B03XA01,Iron preparations; Erythropoiesis stimulating agents,B03AA; B03XA,Haematology,,,,False,False,,,False,False,False,False
Q216,Hyperthyroidism guideline update 2024 summary,EN,Hyperthyroidism,E05,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,2024,True,False,,,False,False,False,False
Q217,algoritma terapi Heart Failure step up,ID,Heart Failure,I50,Furosemide,C03CA01,Loop diuretics,C03CA,Cardiology,,,,False,False,,,False,False,False,False
Q218,kapan mulai terapi Methimazole pada Hyperthyroidism,ID,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology,,,,False,False,,,False,False,False,False
Q219,Diabetes Insipidus dengan diabetes pilihan drug terbaik,MIXED,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology,,,,False,False,,,False,False,False,False
Q220,dosis titrasi Nivolumab Colorectal Cancer toleransi pasien,MIXED,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology,,,,False,True,,,False,False,False,False
Q221,Chronic Lymphocytic Leukaemia risk stratification approach,EN,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology,,,,False,False,,,False,False,False,False
Q222,MDR Tuberculosis with heart failure first line drug,EN,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q223,Rivaroxaban efficacy pada Community-acquired Pneumonia clinical outcome data,MIXED,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q224,Losartan hepatic impairment dose in Hypertension,EN,Hypertension,I10,Losartan,C09CA01,ARBs,C09CA,Cardiology,,,,False,True,,,True,False,False,False
Q225,Psoriasis dengan elderly patients pilihan drug terbaik,MIXED,Psoriasis,L40,Tacrolimus topical,D11AH01,Topical calcineurin inhibitors,D11AH,Dermatology,elderly,,,False,False,,,False,False,False,False
Q226,target Gout sudah tercapai kapan maintenance Secukinumab,MIXED,Gout,M10,Secukinumab,L04AC10,IL-17 inhibitors,L04AC,Rheumatology,,,,False,False,,,False,False,False,False
Q227,Spironolactone contraindication in Heart Failure with hypertension,EN,Heart Failure,I50,Spironolactone,C03DA01,Aldosterone antagonists,C03DA,Cardiology,,,,False,False,,,False,False,False,False
Q228,is Aspirin safe in Ischaemic Stroke with diabetes,EN,Ischaemic Stroke,I63,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Neurology,,,,False,False,,,False,False,False,False
Q229,Hyperthyroidism treatment algorithm Antithyroid agents first line,EN,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology,,,,False,False,,,False,False,False,False
Q230,Cyclosporine contraindication in Disseminated Intravascular Coagulation with immunocompromised,EN,Disseminated Intravascular Coagulation,D65,Cyclosporine,L04AD01,Calcineurin inhibitors,L04AD,Critical Care,,,,False,False,,,False,False,False,False
Q231,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,MIXED,Sepsis,A41,Piperacillin-tazobactam; Norepinephrine,J01CR05; C01CA03,Beta-lactam combinations; Adrenergic agonists,J01CR; C01CA,Critical Care,,,,False,False,,,False,False,True,False
Q232,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,MIXED,Rheumatoid Arthritis,M05,Prednisolone,H02AB06,Corticosteroids,H02AB,Rheumatology,,,,False,False,,,False,False,False,False
Q233,kontraindikasi Budesonide pada Asthma dengan COPD,MIXED,Asthma,J45,Budesonide,R03BA02,Inhaled corticosteroids,R03BA,Pulmonology,,,,False,False,,,False,False,False,False
Q234,PD-1 inhibitors mechanism untuk Non-Small Cell Lung Cancer bagaimana cara kerjanya,MIXED,Non-Small Cell Lung Cancer,C34,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q235,Artemether-lumefantrine vs Artemether-lumefantrine untuk Typhoid Fever,ID,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease,,,,False,False,,,False,True,False,False
Q236,biomarkers Chronic Myeloid Leukaemia treatment response Imatinib,EN,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology,,,,False,False,,,False,False,False,False
Q237,monitoring BCR-ABL inhibitors pada Chronic Myeloid Leukaemia parameter apa,MIXED,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology,,,,False,False,,,False,False,False,False
Q238,Basal insulins in pregnancy and Type 1 Diabetes Mellitus,EN,Type 1 Diabetes Mellitus,E10,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology,,pregnant,,False,False,,,False,False,False,False
Q239,Ramipril pada pasien elderly Hypertension apa perlu adjustment,MIXED,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,elderly,,,False,True,,,False,False,False,False
Q240,Antituberculotics terbaru untuk Tuberculosis 2024,MIXED,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,2024,True,False,,,False,False,False,False
Q241,dosis Dupilumab untuk pasien Psoriasis,ID,Psoriasis,L40,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Dermatology,,,,False,True,,,False,False,False,False
Q242,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023,ID,Type 2 Diabetes Mellitus,E11,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,2023,False,False,,,False,False,False,False
Q243,Mycophenolate mofetil dosing in Rheumatoid Arthritis with diabetes,EN,Rheumatoid Arthritis,M05,Mycophenolate mofetil,L04AA06,Immunosuppressants,L04AA,Rheumatology,,,,False,True,,,False,False,False,False
Q244,Semaglutide vs Liraglutide untuk Obesity,ID,Obesity,E66,Semaglutide; Liraglutide,A10BJ06; A10BJ02,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology,,,,False,False,,,False,True,False,False
Q245,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,ID,Non-Small Cell Lung Cancer,C34,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q246,add on therapy Urinary Tract Infection after Tenofovir+Lamivudine failure,EN,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,True
Q247,resistensi Aspirin pada Ischaemic Stroke alternatif Alteplase,ID,Ischaemic Stroke,I63,Aspirin; Alteplase,B01AC06; B01AD02,Platelet aggregation inhibitors; Thrombolytics,B01AC; B01AD,Neurology,,,,False,False,,,False,False,False,True
Q248,Type 1 Diabetes Mellitus first line Basal insulins evidence based,MIXED,Type 1 Diabetes Mellitus,E10,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology,,,,False,False,,,False,False,False,False
Q249,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment,MIXED,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology,elderly,,,False,True,,,False,False,False,False
Q250,efek samping Vitamin K antagonists pada Atrial Fibrillation,ID,Atrial Fibrillation,I48,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Cardiology,,,,False,False,,,False,False,False,False
Q251,Bipolar Disorder risk stratification approach,EN,Bipolar Disorder,F31,Lithium,N05AN01,Mood stabilisers,N05AN,Psychiatry,,,,False,False,,,False,False,False,False
Q252,latest guideline Major Depressive Disorder management 2022,MIXED,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,2022,True,False,,,False,False,False,False
Q253,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,MIXED,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology,,,,False,False,,,False,False,False,False
Q254,NRTIs combination role in Urinary Tract Infection pathophysiology,EN,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q255,kontraindikasi Salmeterol pada Asthma dengan immunocompromised,MIXED,Asthma,J45,Salmeterol,R03AC12,Long-acting beta2-agonists,R03AC,Pulmonology,,,,False,False,,,False,False,False,False
Q256,Antituberculotics role in MDR Tuberculosis pathophysiology,EN,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q257,switch from Imatinib to Imatinib in Chronic Myeloid Leukaemia,EN,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology,,,,False,False,,,False,False,False,False
Q258,when to start Alteplase in Ischaemic Stroke,EN,Ischaemic Stroke,I63,Alteplase,B01AD02,Thrombolytics,B01AD,Neurology,,,,False,False,,,False,False,False,False
Q259,monitoring Atypical antipsychotics pada Schizophrenia parameter apa,MIXED,Schizophrenia,F20,Clozapine,N05AH02,Atypical antipsychotics,N05AH,Psychiatry,,,,False,False,,,False,False,False,False
Q260,terapi profilaksis Schizophrenia dengan Risperidone,ID,Schizophrenia,F20,Risperidone,N05AX08,Atypical antipsychotics,N05AX,Psychiatry,,,,False,False,,,False,False,False,False
Q261,Penicillins role in HIV/AIDS pathophysiology,EN,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease,,,,False,False,,,False,False,False,False
